taxon	n_snp	or_displayed	lci	uci	b_recon	se_recon	p_stored	p_recon	log10p_delta	qc
family.Acidaminococcaceae.id.2166	7	0.92	0.8	1.07	-0.077742	0.074186	0.2908214817433057	0.2946637879593951	0.0057	PASS
family.FamilyXI.id.1936	8	1.05	0.96	1.13	0.040698	0.041593	0.2950378556514889	0.32783241146311426	0.0458	PASS
class.Melainabacteria.id.1589	10	0.95	0.86	1.05	-0.051016	0.050923	0.2967266930631541	0.3164205674649826	0.0279	PASS
genus.Prevotella7.id.11182	11	1.04	0.97	1.12	0.041435	0.036681	0.2981816926091983	0.25864953265905843	0.0618	PASS
phylum.Actinobacteria.id.400	16	1.13	0.9	1.42	0.122648	0.116333	0.2990336798689089	0.291752719246698	0.0107	PASS
family.Oxalobacteraceae.id.2966	14	1.04	0.97	1.12	0.041435	0.036681	0.3058711560909692	0.25864953265905843	0.0728	PASS
genus.Lachnospira.id.2004	6	1.15	0.88	1.52	0.145438	0.139427	0.3094215608854593	0.2968946629253577	0.0179	PASS
class.Alphaproteobacteria.id.2379	8	1.07	0.94	1.23	0.072569	0.068596	0.314886401847385	0.2900866622597763	0.0356	PASS
genus.Slackia.id.825	6	1.07	0.94	1.23	0.072569	0.068596	0.3172300477484225	0.2900866622597763	0.0388	PASS
family.Christensenellaceae.id.1866	11	0.94	0.83	1.06	-0.06403	0.062399	0.3235965778292493	0.3048217206637849	0.026	PASS
genus.Prevotella9.id.11183	16	1.05	0.95	1.15	0.044234	0.048739	0.3326288978492758	0.36410720994519297	0.0393	PASS
