taxon	n	OR	b	se	p	qp	or_eg	p_eg	pleio_p	p_wm	fdr
genus.Fusicatenibacter.id.11305	18	0.9560621599930879	-0.04493234713123194	0.039605257610445165	0.25658294329929	0.05806403151134057	0.8923072822305339	0.464831338473436	0.6443152039585827	0.10805484390606261	0.8286374233376539
genus.LachnospiraceaeUCG008.id.11328	11	0.9402524008805719	-0.06160692818579216	0.05441409479423165	0.2575558441283047	2.7532259079255055e-07	0.8297796235446074	0.5624672829438223	0.6915970101178822	0.4341348291800279	0.8286374233376539
phylum.Proteobacteria.id.2375	12	0.9567796969762693	-0.04418211572634873	0.039332163783876516	0.26130690712378535	0.8858433680088036	1.037644983205699	0.694916596552014	0.37247563580213855	0.5934808040397109	0.8286374233376539
genus.Parasutterella.id.2892	15	0.964369092465333	-0.036281181648521135	0.03239229393821061	0.26268991922578144	0.08939580069797998	1.0601282187099652	0.573153034365826	0.3405083583745798	0.045021699208990434	0.8286374233376539
class.Bacilli.id.1673	18	0.9674000491272988	-0.033143167810436844	0.029646691582353592	0.2635934061063746	0.4792477710842342	1.0818348998411167	0.3485715899500294	0.16245692512660656	0.2571396092285033	0.8286374233376539
order.Burkholderiales.id.2874	12	0.9525972749884237	-0.0485630512236847	0.043582942531974485	0.2651644963291183	0.257681354509612	0.9759494419820033	0.8807213652674559	0.8761048847783787	0.5464468479831561	0.8286374233376539
genus.Roseburia.id.2012	14	0.9261813078630593	-0.07668526667329717	0.06893819901088358	0.26597609147995105	2.046178436867379e-06	1.2258157032324608	0.34261396839119607	0.17639300141158465	0.3570126521036091	0.8286374233376539
genus.Allisonella.id.2174	8	0.9787330399352794	-0.02149636011816305	0.019450462232254283	0.26907941250146583	0.7353476084852625	1.0936282200668748	0.4143092429481408	0.31365564957100023	0.23873953989602748	0.8286374233376539
phylum.Actinobacteria.id.400	16	1.046587250817727	0.04553463335848713	0.042009331271795645	0.2784015482177674	0.06436136585671598	1.1364733284599853	0.5049452178338676	0.6574979294357098	0.6271877802849463	0.8286374233376539
genus.unknowngenus.id.2001	10	0.961628635571155	-0.03912693655644259	0.03626906308639561	0.2806784770943306	0.1269012542887331	0.9622300055319462	0.7448126336954234	0.9955060475923145	0.16993775802400068	0.8286374233376539
genus.Intestinimonas.id.2062	17	0.9739170909913165	-0.02642910114820747	0.024529377195715737	0.2812806660292324	0.6385276080055777	0.9916358688689184	0.8862993762319938	0.7379953070980584	0.5141882083045177	0.8286374233376539
phylum.Lentisphaerae.id.2238	9	1.030743727218366	0.030280606938395432	0.028229439290153917	0.28342342978784596	0.11350430750472247	0.9146990855257447	0.42223951054547537	0.2752203231712829	0.4246832492339425	0.8286374233376539
genus.Eggerthella.id.819	11	1.039813805838473	0.03904166427736586	0.03664431806574859	0.2866849853253495	0.001994644025685107	0.9194144237976161	0.619020946524409	0.4583245776245254	0.7526707434005054	0.8286374233376539
genus.LachnospiraceaeUCG004.id.11324	14	1.0534040822736659	0.05202690339063386	0.05109566579246279	0.3085708637451797	0.0026671367786756063	1.1851671385726632	0.4296679672188128	0.5687479027231431	0.518477266408581	0.8759028804263334
class.Lentisphaeria.id.2250	8	1.033144812263285	0.03260736643362808	0.03248500558130098	0.31549108489289734	0.07417418342229262	0.9146287548667881	0.4542069759581775	0.2978706514072804	0.4207819536618467	0.8759028804263334
order.Victivallales.id.2254	8	1.033144812263285	0.03260736643362808	0.03248500558130098	0.31549108489289734	0.07417418342229262	0.9146287548667881	0.4542069759581775	0.2978706514072804	0.4377335700983037	0.8759028804263334
genus.RuminococcaceaeUCG014.id.11371	11	1.0351926084677474	0.034587504541700474	0.03528037686778306	0.3269079677776885	0.7322376275097107	1.0812969325671586	0.3950850176603249	0.6082015195223315	0.13563468549165028	0.88912609420296
genus.RuminococcaceaeUCG003.id.11361	12	1.0520312036330017	0.050722775123732536	0.05237682255358591	0.33283453465015156	0.0016313279425481666	0.9021530279593573	0.525742014854097	0.3225040664560681	0.2054957951256995	0.88912609420296
genus.LachnospiraceaeUCG001.id.11321	13	1.0273979742470607	0.027029367321483623	0.028278807224851175	0.3391646509087948	0.7294632484187207	1.125560998491275	0.3256735437164921	0.4339018528372003	0.5143421830469788	0.88912609420296
genus.FamilyXIIIAD3011group.id.11293	13	0.9494944995508451	-0.051825541741999784	0.054312654535425456	0.33997862422306235	0.0008337689136577301	0.9128109690476917	0.7476060379220253	0.886858310284377	0.9365128888078738	0.88912609420296
genus.LachnospiraceaeNC2004group.id.11316	9	0.9455016836596035	-0.05603961017700984	0.060109893558663134	0.3511887585394998	1.9094601867853858e-06	1.2981030920629026	0.3012401174895356	0.20490688629141066	0.41668778796395456	0.88912609420296
class.Alphaproteobacteria.id.2379	8	0.9680084750402335	-0.032514436537033904	0.03564303779276883	0.36165078243388604	0.566219632359009	0.8879040026630727	0.451574379281591	0.5699004455376271	0.7487654545769324	0.88912609420296
order.Rhodospirillales.id.2667	14	0.9727034994121554	-0.027675971485830887	0.030485129395133703	0.36395666682924266	0.10323573676756596	1.0447271256417432	0.7888963530781763	0.6566042814248202	0.9580031125828316	0.88912609420296
genus.Lachnoclostridium.id.11308	13	0.9672792604890824	-0.033268034642653405	0.03668690490150984	0.36450753442137607	0.43474094684865383	0.9402220991953437	0.6732097604145755	0.8397666811458581	0.25989887467336437	0.88912609420296
genus.Ruminiclostridium6.id.11356	17	1.0284356663619902	0.028038877218158918	0.031143117116189452	0.3679481695882787	0.1615648311110055	0.8659731559291485	0.05768248323858192	0.018051395718402162	0.9692829386799469	0.88912609420296
genus.Anaerostipes.id.1991	13	0.9671104243235088	-0.03344259736631538	0.037210471970722955	0.3687903382927773	0.5815588487074383	0.8140562022389228	0.10309648543445943	0.14892076281277608	0.8428571903104742	0.88912609420296
genus.unknowngenus.id.826	15	1.0404596793716954	0.039662614896183286	0.04434620351256942	0.37111550511353664	0.0022205435695146153	1.2090272041227386	0.13120400769163237	0.1942483630049946	0.33581919368758195	0.88912609420296
genus.Ruminiclostridium9.id.11357	9	1.0677662845090994	0.0655688818608822	0.0736264523218147	0.37316447556670773	0.001762716572098563	0.807211911835942	0.5130999177953273	0.3849829169263721	0.4098978108741711	0.88912609420296
genus.Phascolarctobacterium.id.2168	9	0.9623248268885899	-0.0384032274216791	0.04372823372479295	0.37982163547974346	0.13769389817643768	0.8072149110744363	0.35247956525268953	0.4310528080661696	0.8666463342133541	0.88912609420296
genus.Escherichia.Shigella.id.3504	10	0.9623607381634426	-0.038365910910858884	0.04394787506727498	0.38267032108487464	0.1382897525958626	0.9455309309770448	0.6993727823505405	0.8969136485025043	0.7053918545856992	0.88912609420296
family.Ruminococcaceae.id.2050	10	1.0336012636270828	0.033049076594875375	0.038473573698346926	0.3903365468820953	0.9652020144025895	1.069275372118474	0.19683308969398658	0.44132715611465784	0.5401965917000894	0.88912609420296
